FdGrp_Cd;FdGrp_Desc
0100;"Dairy and Egg Products"
0200;"Spices and Herbs"
0400;"Fats and Oils"
0500;"Poultry Products"
0900;"Fruits and Fruit Juices"
1000;"Pork Products"
1100;"Vegetables and Vegetable Products"
1200;"Nut and Seed Products"
1300;"Beef Products"
1400;"Beverages"
1500;"Finfish and Shellfish Products"
1600;"Legumes and Legume Products"
1700;"Lamb, Veal, and Game Products"
1900;"Sweets"
2000;"Cereal Grains and Pasta"
