,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Riboflavin_.mg.,0.524,0.739,0.654,0.572,-0.305,-0.227,-0.402,0.243,0.634,0.460,0.677,0.403,0.490,0.740,0.347,-0.023,0.553,-0.423,0.606,1.000,0.579,0.660,0.597,0.221,-0.034,0.226,0.220,0.651,0.438,-0.010,0.312,-0.181,-0.197,-0.242,-0.134,-0.222,0.157,0.383,0.066,0.534,0.612,0.450
Niacin_.mg.,0.555,0.774,0.603,0.461,-0.405,-0.308,-0.589,-0.158,0.491,0.530,0.696,0.507,0.407,0.695,0.369,-0.140,0.626,-0.480,0.563,0.579,1.000,0.591,0.692,-0.031,0.069,-0.043,-0.031,0.687,0.528,-0.275,0.270,-0.232,-0.488,-0.363,-0.072,-0.448,0.158,0.475,-0.186,0.557,0.610,0.469
Panto_Acid_mg.,0.589,0.699,0.610,0.529,-0.244,-0.203,-0.442,0.164,0.502,0.495,0.696,0.381,0.428,0.704,0.370,-0.033,0.550,-0.486,0.567,0.660,0.591,1.000,0.581,0.242,0.082,0.229,0.242,0.662,0.418,-0.181,0.328,-0.267,-0.386,-0.271,-0.108,-0.402,0.177,0.392,-0.119,0.551,0.595,0.447
Vit_B6_.mg.,0.549,0.719,0.481,0.504,-0.235,-0.158,-0.426,0.046,0.502,0.537,0.679,0.604,0.387,0.626,0.274,-0.040,0.553,-0.337,0.589,0.597,0.692,0.581,1.000,0.083,0.012,0.080,0.083,0.627,0.380,-0.182,0.253,-0.175,-0.340,-0.260,-0.081,-0.305,0.151,0.349,-0.080,0.398,0.467,0.367
Folate_Tot_.µg.,-0.029,0.047,-0.030,0.265,0.358,0.482,0.241,0.451,0.353,0.382,0.117,0.276,-0.067,0.190,0.346,0.572,-0.114,0.282,0.320,0.221,-0.031,0.242,0.083,1.000,0.105,0.987,1.000,0.075,-0.338,0.207,-0.270,0.162,0.332,0.043,0.051,0.258,0.171,-0.307,0.409,-0.120,0.045,-0.312
Folic_Acid_.µg.,0.105,0.013,0.001,-0.050,0.119,-0.001,-0.041,0.022,0.101,0.032,0.013,-0.099,-0.048,0.045,0.077,0.099,0.051,-0.079,0.105,-0.034,0.069,0.082,0.012,0.105,1.000,-0.054,0.108,-0.091,-0.052,-0.099,-0.045,-0.038,-0.071,-0.037,-0.013,-0.059,-0.079,-0.047,-0.067,0.029,-0.004,-0.052
Food_Folate_.µg.,-0.048,0.043,-0.032,0.273,0.339,0.483,0.248,0.448,0.337,0.377,0.113,0.292,-0.059,0.182,0.334,0.558,-0.123,0.297,0.304,0.226,-0.043,0.229,0.080,0.987,-0.054,1.000,0.987,0.088,-0.331,0.224,-0.264,0.170,0.345,0.049,0.054,0.269,0.184,-0.301,0.421,-0.126,0.045,-0.305
Folate_DFE_.µg.,-0.029,0.047,-0.031,0.265,0.358,0.482,0.241,0.450,0.353,0.382,0.116,0.275,-0.067,0.190,0.346,0.572,-0.114,0.282,0.320,0.220,-0.031,0.242,0.083,1.000,0.108,0.987,1.000,0.074,-0.338,0.207,-0.270,0.162,0.332,0.043,0.051,0.258,0.170,-0.307,0.409,-0.120,0.045,-0.312
Choline_Tot_..mg.,0.641,0.858,0.687,0.667,-0.485,-0.401,-0.661,0.184,0.538,0.544,0.848,0.458,0.667,0.771,0.269,-0.189,0.765,-0.584,0.504,0.651,0.687,0.662,0.627,0.075,-0.091,0.088,0.074,1.000,0.688,-0.220,0.498,-0.347,-0.528,-0.354,-0.124,-0.471,0.259,0.565,-0.185,0.626,0.680,0.681
Vit_B12_.µg.,0.528,0.668,0.684,0.405,-0.792,-0.836,-0.782,-0.057,0.207,0.151,0.632,0.040,0.717,0.541,-0.140,-0.569,0.774,-0.672,0.110,0.438,0.528,0.418,0.380,-0.338,-0.052,-0.331,-0.338,0.688,1.000,-0.138,0.794,-0.385,-0.640,-0.272,-0.084,-0.545,0.160,0.782,-0.435,0.684,0.584,0.915
