"NDB_No","Shrt_Desc","Water_.g.","Energ_Kcal","Protein_.g.","Lipid_Tot_.g.","Ash_.g.","Carbohydrt_.g.","Fiber_TD_.g.","Sugar_Tot_.g.","Calcium_.mg.","Iron_.mg.","Magnesium_.mg.","Phosphorus_.mg.","Potassium_.mg.","Sodium_.mg.","Zinc_.mg.","Copper_mg.","Manganese_.mg.","Selenium_.µg.","Vit_C_.mg.","Thiamin_.mg.","Riboflavin_.mg.","Niacin_.mg.","Panto_Acid_mg.","Vit_B6_.mg.","Folate_Tot_.µg.","Folic_Acid_.µg.","Food_Folate_.µg.","Folate_DFE_.µg.","Choline_Tot_..mg.","Vit_B12_.µg.","Vit_A_IU","Vit_A_RAE","Retinol_.µg.","Alpha_Carot_.µg.","Beta_Carot_.µg.","Beta_Crypt_.µg.","Lycopene_.µg.","Lut.Zea_..µg.","Vit_E_.mg.","Vit_D_µg","Vit_D_IU","Vit_K_.µg.","FA_Sat_.g.","FA_Mono_.g.","FA_Poly_.g.","Cholestrl_.mg."
11603,"YAMBEAN (JICAMA),RAW",90.07,38,0.72,0.09,0.3,8.82,4.9,1.8,12,0.6,12,18,150,4,0.16,0.048,0.06,0.7,20.2,0.02,0.029,0.2,0.135,0.042,12,0,12,12,13.6,0,21,1,0,0,13,0,0,0,0.46,0,0,0.3,0.021,0.005,0.043,0
2047,"SALT,TABLE",0.2,0,0,0,99.8,0,0,0,24,0.33,1,0,8,38758,0.1,0.03,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,"VINEGAR,CIDER",93.81,21,0,0,0.17,0.93,0,0.4,7,0.2,5,8,73,5,0.04,0.008,0.249,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,"VINEGAR,DISTILLED",94.78,18,0,0,0.02,0.04,0,0.04,6,0.03,1,4,2,2,0.01,0.006,0.055,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,"CAPERS,CANNED",83.85,23,2.36,0.86,8.04,4.89,3.2,0.41,40,1.67,33,10,40,2348,0.32,0.374,0.078,1.2,4.3,0.018,0.139,0.652,0.027,0.023,23,0,23,23,6.5,0,138,7,0,0,83,0,0,0,0.88,0,0,24.6,0.233,0.063,0.304,0
2055,"HORSERADISH,PREPARED",85.08,48,1.18,0.69,1.76,11.29,3.3,7.99,56,0.42,27,31,246,420,0.83,0.058,0.126,2.8,24.9,0.008,0.024,0.386,0.093,0.073,57,0,57,57,6.5,0,2,0,0,0,1,0,0,10,0.01,0,0,1.3,0.09,0.13,0.339,0
1287,"YOGURT,GREEK,PLN,LOWFAT",83.56,73,9.95,1.92,0.63,3.94,0,3.56,115,0.04,11,137,141,34,0.6,0.021,0.007,12.4,0.8,0.044,0.233,0.197,0.47,0.055,12,0,12,12,15.2,0.52,309,90,90,0,6,0,0,1,0.04,0,0,0.2,1.23,0.486,0.076,10
1004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,1.729,0.166,36,0,36,36,15.4,1.22,721,198,192,0,74,0,0,0,0.25,0.5,21,2.4,18.669,7.778,0.8,75
1005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.014,0.351,0.118,0.288,0.065,20,0,20,20,15.4,1.26,1080,292,286,0,76,0,0,0,0.26,0.5,22,2.5,18.764,8.598,0.784,94
1006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.69,0.235,65,0,65,65,15.4,1.65,592,174,173,0,9,0,0,0,0.24,0.5,20,2.3,17.41,8.013,0.826,100
