,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Zinc_.mg.,0.460060946,0.677300695,0.502811788,0.460424357,-0.246196398,-0.178000345,-0.412935026,0.190219018,0.525639648,0.398548801,0.621869894,0.29888108,0.377086784,1,0.330097192,0.037496688,0.49095137,-0.428148963,0.379842656,0.549352623,0.514548581,0.499416777,0.44843705,0.141599653,0.037339342,0.13481776,0.141332987,0.57770264,0.409625807,-0.194040623,0.257663268,-0.275097113,-0.311137627,-0.319012435,-0.135060678,-0.316624027,0.084568916,0.286414676,-0.024155593,0.425290862,0.472178326,0.43351474
Copper_mg.,0.135274675,0.224413766,0.070541197,0.221182946,0.216460804,0.27837347,0.006139712,0.147554524,0.461609763,0.358056845,0.185825921,0.320532262,-0.012549195,0.330097192,1,0.400044257,0.092172873,0.011909632,0.307081201,0.236297299,0.256585466,0.257989358,0.185654311,0.243228341,0.062789483,0.234333566,0.242961887,0.190992311,-0.099628713,-0.114260949,-0.207734111,-0.027569353,-0.011037247,-0.162938223,-0.074289271,-0.050914746,0.115277918,-0.199063497,0.153464355,0.020191778,0.131411136,-0.095129834
Manganese_.mg.,-0.135293861,-0.080047832,-0.193290412,0.102841501,0.466740705,0.556280959,0.261122037,0.28095389,0.261142157,0.282076696,-0.042838846,0.200635109,-0.195869573,0.037496688,0.400044257,1,-0.142838469,0.286902977,0.134593053,0.020200688,-0.063216472,-0.013797992,-0.015384305,0.419243418,0.081053693,0.407875954,0.418976752,-0.098752588,-0.422701339,0.076026045,-0.380609812,0.128102287,0.289288895,-0.026555555,-0.011850276,0.249643854,0.067309953,-0.444362632,0.329660752,-0.254671528,-0.09781057,-0.437318482
Selenium_.µg.,0.355408752,0.592567977,0.434462257,0.435937179,-0.403734155,-0.377473922,-0.565972386,0.113749948,0.306746232,0.339813887,0.578523879,0.193306647,0.505478809,0.49095137,0.092172873,-0.142838469,1,-0.45006944,0.253370664,0.389289009,0.445968309,0.378553947,0.398253705,-0.064493919,0.042392969,-0.071924419,-0.06440397,0.578296331,0.600827522,-0.15413825,0.496545473,-0.32507557,-0.444455652,-0.317781682,-0.107104174,-0.377478196,0.127359947,0.530728454,-0.25739086,0.395139588,0.421593088,0.539389755
Vit_C_.mg.,-0.430822444,-0.431615539,-0.442105154,-0.286095313,0.34958,0.403544514,0.438738886,0.038316541,-0.13683055,-0.122754628,-0.436060127,-0.025709962,-0.396060577,-0.428148963,0.011909632,0.286902977,-0.45006944,1,-0.089600563,-0.2994019,-0.346841116,-0.336013966,-0.2279961,0.195875254,-0.06773377,0.205677726,0.195780811,-0.397622367,-0.523248803,0.255998955,-0.432385706,0.414170419,0.479170789,0.293318257,0.155401353,0.46533126,-0.01758515,-0.506617844,0.260576867,-0.464617917,-0.406796305,-0.535668295
Thiamin_.mg.,0.308982556,0.39530785,0.25247757,0.273335055,-0.011527693,0.045741394,-0.144957719,0.093522648,0.421938187,0.352770029,0.400885534,0.389273178,0.093202683,0.379842656,0.307081201,0.134593053,0.253370664,-0.089600563,1,0.435115884,0.38722186,0.403597482,0.421950353,0.232192909,0.086216985,0.219844723,0.231925764,0.363098749,0.087177913,-0.048731406,0.0303641,-0.071620853,-0.095887608,-0.135025009,-0.049925474,-0.108021522,0.072839316,0.131441712,0.011964017,0.171190551,0.279701467,0.082935812
Riboflavin_.mg.,0.364150815,0.539553294,0.466200465,0.415468128,-0.200518443,-0.147620856,-0.276091596,0.176243779,0.456576348,0.32380546,0.504287679,0.290883017,0.349812634,0.549352623,0.236297299,0.020200688,0.389289009,-0.2994019,0.435115884,1,0.421664885,0.480070594,0.424460617,0.1558638,-0.028255906,0.159399241,0.15559691,0.478773702,0.325770764,-0.004425912,0.241582978,-0.135691665,-0.127014187,-0.183899461,-0.110641347,-0.153780256,0.107139765,0.284986297,0.040864469,0.373010717,0.426627194,0.35891589
Niacin_.mg.,0.392966277,0.592146472,0.458453009,0.320691537,-0.2585433,-0.189744884,-0.411894486,-0.107589907,0.338658516,0.380038991,0.511219702,0.349230098,0.288815509,0.514548581,0.256585466,-0.063216472,0.445968309,-0.346841116,0.38722186,0.421664885,1,0.418542231,0.508942912,-0.014018431,0.056814437,-0.022805191,-0.014107155,0.517669653,0.392095709,-0.189535184,0.21494107,-0.169650488,-0.327853307,-0.279421972,-0.058979743,-0.308145214,0.105791673,0.358530173,-0.126672242,0.406888046,0.443115425,0.368894656
Panto_Acid_mg.,0.417770905,0.497504663,0.417621755,0.376306227,-0.171828773,-0.145646037,-0.304717743,0.114325614,0.349843957,0.354953597,0.499394722,0.266954096,0.294143479,0.499416777,0.257989358,-0.013797992,0.378553947,-0.336013966,0.403597482,0.480070594,0.418542231,1,0.402015136,0.162494877,0.067266814,0.153776366,0.162406155,0.481472357,0.304617231,-0.126041914,0.258215792,-0.204105193,-0.267473843,-0.207076945,-0.088143611,-0.299409153,0.120851628,0.30448535,-0.085151022,0.377725077,0.407880622,0.350126759
Vit_B6_.mg.,0.368877374,0.525711866,0.321165405,0.354738294,-0.158157227,-0.096106885,-0.297695399,0.037412397,0.35432315,0.381661883,0.489102306,0.426632649,0.274127705,0.44843705,0.185654311,-0.015384305,0.398253705,-0.2279961,0.421950353,0.424460617,0.508942912,0.402015136,1,0.073946777,0.009998681,0.071694078,0.073680621,0.446510001,0.284333929,-0.127552193,0.194779392,-0.130841341,-0.237252993,-0.201338957,-0.066590864,-0.212681955,0.099203514,0.262266743,-0.057709432,0.256253412,0.307557041,0.265807711
Folate_Tot_.µg.,-0.029904435,0.041761564,-0.015945618,0.179475005,0.249854955,0.360988992,0.164393573,0.322592261,0.253282091,0.275638264,0.080485137,0.191654999,-0.042441716,0.141599653,0.243228341,0.419243418,-0.064493919,0.195875254,0.232192909,0.1558638,-0.014018431,0.162494877,0.073946777,1,0.086605568,0.987341215,0.999731652,0.058551019,-0.250786275,0.141099464,-0.203257852,0.127884627,0.240040441,0.034030178,0.041982658,0.2003637,0.115785621,-0.234221226,0.288657289,-0.079964825,0.026956754,-0.23337948
Folic_Acid_.µg.,0.086498888,0.010901179,0.000456346,-0.040974062,0.099413902,-0.000492942,-0.034295841,0.018316119,0.08284403,0.026685602,0.010472767,-0.080889523,-0.039489151,0.037339342,0.062789483,0.081053693,0.042392969,-0.06773377,0.086216985,-0.028255906,0.056814437,0.067266814,0.009998681,0.086605568,1,-0.044454325,0.089354951,-0.075215431,-0.047614276,-0.082437244,-0.041498971,-0.035734137,-0.061709582,-0.034937178,-0.013389464,-0.052913854,-0.065245972,-0.04298393,-0.056221946,0.023655112,-0.003634046,-0.047291557
Food_Folate_.µg.,-0.042040701,0.038175724,-0.017685083,0.18460986,0.236842467,0.362047937,0.170971801,0.321071097,0.240963535,0.271767835,0.077117865,0.203170028,-0.037113471,0.13481776,0.234333566,0.407875954,-0.071924419,0.205677726,0.219844723,0.159399241,-0.022805191,0.153776366,0.071694078,0.987341215,-0.044454325,1,0.987072831,0.068990237,-0.245556016,0.151683173,-0.199111401,0.133920697,0.248937026,0.038906794,0.043948835,0.208401996,0.12475348,-0.229337429,0.296905608,-0.084282957,0.026029175,-0.2282314
Folate_DFE_.µg.,-0.030171042,0.041495567,-0.016212863,0.179208392,0.250129571,0.360700316,0.164114624,0.322324105,0.253015525,0.275368823,0.080218483,0.191388873,-0.04253135,0.141332987,0.242961887,0.418976752,-0.06440397,0.195780811,0.231925764,0.15559691,-0.014107155,0.162406155,0.073680621,0.999731652,0.089354951,0.987072831,1,0.058282437,-0.250786275,0.140919662,-0.203257852,0.127884627,0.239844569,0.034030178,0.041982658,0.2003637,0.115518423,-0.234221226,0.288566587,-0.080231226,0.026690734,-0.23337948
Choline_Tot_..mg.,0.432814427,0.677287873,0.468087147,0.473295603,-0.355892705,-0.26133521,-0.502685139,0.132763917,0.38174454,0.38864866,0.662235857,0.325578623,0.486151015,0.57770264,0.190992311,-0.098752588,0.578296331,-0.397622367,0.363098749,0.478773702,0.517669653,0.481472357,0.446510001,0.058551019,-0.075215431,0.068990237,0.058282437,1,0.52919019,-0.146486478,0.372964811,-0.262426649,-0.356111169,-0.274499078,-0.102514061,-0.323013896,0.176504409,0.42602144,-0.115836088,0.41226069,0.467140733,0.533985136
Vit_B12_.µg.,0.391511818,0.503671714,0.50625744,0.309800717,-0.609665442,-0.65780398,-0.606827671,-0.042970793,0.159461635,0.112832724,0.480991404,0.02937424,0.542668138,0.409625807,-0.099628713,-0.422701339,0.600827522,-0.523248803,0.087177913,0.325770764,0.392095709,0.304617231,0.284333929,-0.250786275,-0.047614276,-0.245556016,-0.250786275,0.52919019,1,-0.104782511,0.672264432,-0.330817846,-0.506000157,-0.23418534,-0.075872744,-0.445663804,0.11646483,0.656155219,-0.327706851,0.505048502,0.442104444,0.744029417
Vit_A_IU,-0.186450452,-0.152829219,-0.060478373,0.035772481,0.016376131,0.052078821,0.131954345,0.185557574,-0.053894834,-0.041297156,-0.122833367,-0.075782902,0.000585562,-0.194040623,-0.114260949,0.076026045,-0.15413825,0.255998955,-0.048731406,-0.004425912,-0.189535184,-0.126041914,-0.127552193,0.141099464,-0.082437244,0.151683173,0.140919662,-0.146486478,-0.104782511,1,0.192564544,0.378442032,0.636645305,0.268719478,0.162210952,0.400207576,0.216313936,-0.065958723,0.223704695,-0.087195939,-0.037074369,-0.098665717
Retinol_.µg.,0.371989721,0.364994633,0.476779947,0.325841165,-0.463804279,-0.575156798,-0.464613972,0.067949491,0.037065204,0.060818983,0.41919505,-0.065304782,0.506056956,0.257663268,-0.207734111,-0.380609812,0.496545473,-0.432385706,0.0303641,0.241582978,0.21494107,0.258215792,0.194779392,-0.203257852,-0.041498971,-0.199111401,-0.203257852,0.372964811,0.672264432,0.192564544,1,-0.26950731,-0.35793419,-0.14715241,-0.05603846,-0.337123152,0.18637622,0.65553198,-0.327822883,0.474361086,0.428115501,0.678708637
Alpha_Carot_.µg.,-0.285567668,-0.295353771,-0.22597678,-0.194731145,0.185599799,0.231812326,0.292530751,-0.025626981,-0.106519375,-0.080751213,-0.30247114,-0.087421431,-0.240672558,-0.275097113,-0.027569353,0.128102287,-0.32507557,0.414170419,-0.071620853,-0.135691665,-0.169650488,-0.204105193,-0.130841341,0.127884627,-0.035734137,0.133920697,0.127884627,-0.262426649,-0.330817846,0.378442032,-0.26950731,1,0.477256968,0.487679308,0.209819188,0.46310262,0.044737917,-0.327166646,0.186537224,-0.238298607,-0.227517646,-0.315970739
Beta_Carot_.µg.,-0.364389486,-0.357148736,-0.313568755,-0.141283101,0.300218656,0.38090867,0.420349892,0.143226465,-0.092129115,-0.12252484,-0.338421431,-0.060557205,-0.268210681,-0.311137627,-0.011037247,0.289288895,-0.444455652,0.479170789,-0.095887608,-0.127014187,-0.327853307,-0.267473843,-0.237252993,0.240040441,-0.061709582,0.248937026,0.239844569,-0.356111169,-0.506000157,0.636645305,-0.35793419,0.477256968,1,0.324585,0.185830004,0.577800619,0.06216629,-0.463932283,0.454972651,-0.343934075,-0.279462627,-0.459210087
Beta_Crypt_.µg.,-0.154804067,-0.340700377,-0.127868165,-0.275044294,0.19897981,0.104882948,0.309182449,-0.124201334,-0.19874629,-0.253715272,-0.319828171,-0.228991839,-0.265690283,-0.319012435,-0.162938223,-0.026555555,-0.317781682,0.293318257,-0.135025009,-0.183899461,-0.279421972,-0.207076945,-0.201338957,0.034030178,-0.034937178,0.038906794,0.034030178,-0.274499078,-0.23418534,0.268719478,-0.14715241,0.487679308,0.324585,1,0.221138213,0.400980754,0.02681637,-0.222416917,-0.006985975,-0.121661277,-0.173504103,-0.186823698
Lycopene_.µg.,-0.108089609,-0.157553433,-0.117133198,-0.14428496,0.068540601,0.010895317,0.130413628,-0.066765108,-0.115375135,-0.12777305,-0.126613794,-0.082783916,-0.086430308,-0.135060678,-0.074289271,-0.011850276,-0.107104174,0.155401353,-0.049925474,-0.110641347,-0.058979743,-0.088143611,-0.066590864,0.041982658,-0.013389464,0.043948835,0.041982658,-0.102514061,-0.075872744,0.162210952,-0.05603846,0.209819188,0.185830004,0.221138213,1,0.083153371,0.006343589,-0.122588266,-0.038097909,-0.05838173,-0.104936895,-0.076071902
Lut.Zea_..µg.,-0.364775493,-0.358038111,-0.268082534,-0.209644512,0.252448515,0.361408621,0.361008393,0.077254981,-0.085434426,-0.135301514,-0.331063298,-0.062349882,-0.296465849,-0.316624027,-0.050914746,0.249643854,-0.377478196,0.46533126,-0.108021522,-0.153780256,-0.308145214,-0.299409153,-0.212681955,0.2003637,-0.052913854,0.208401996,0.2003637,-0.323013896,-0.445663804,0.400207576,-0.337123152,0.46310262,0.577800619,0.400980754,0.083153371,1,0.070996736,-0.390955281,0.382129183,-0.29862664,-0.226888853,-0.408709161
Vit_E_.mg.,0.099195004,0.099365358,0.19283307,0.29883044,-0.086315443,-0.022611776,-0.146884614,0.142670519,0.137444812,0.185608992,0.176254901,0.173255827,0.173947603,0.084568916,0.115277918,0.067309953,0.127359947,-0.01758515,0.072839316,0.107139765,0.105791673,0.120851628,0.099203514,0.115785621,-0.065245972,0.12475348,0.115518423,0.176504409,0.11646483,0.216313936,0.18637622,0.044737917,0.06216629,0.02681637,0.006343589,0.070996736,1,0.065226716,0.140345595,0.15362919,0.219894426,0.129192695
Vit_D_IU,0.331010127,0.432614026,0.454161149,0.247414542,-0.573163135,-0.557117869,-0.510683215,-0.075522477,0.038102852,0.087378244,0.455003428,0.035781327,0.422324125,0.286414676,-0.199063497,-0.444362632,0.530728454,-0.506617844,0.131441712,0.284986297,0.358530173,0.30448535,0.262266743,-0.234221226,-0.04298393,-0.229337429,-0.234221226,0.42602144,0.656155219,-0.065958723,0.65553198,-0.327166646,-0.463932283,-0.222416917,-0.122588266,-0.390955281,0.065226716,1,-0.382746165,0.453025054,0.437048682,0.59244541
Vit_K_.µg.,-0.140035466,-0.099976316,-0.090283339,0.044787106,0.183040956,0.342819456,0.176830078,0.219431185,0.153483634,0.097172535,-0.118699668,0.09327841,-0.088298282,-0.024155593,0.153464355,0.329660752,-0.25739086,0.260576867,0.011964017,0.040864469,-0.126672242,-0.085151022,-0.057709432,0.288657289,-0.056221946,0.296905608,0.288566587,-0.115836088,-0.327706851,0.223704695,-0.327822883,0.186537224,0.454972651,-0.006985975,-0.038097909,0.382129183,0.140345595,-0.382746165,1,-0.137541256,-0.062580604,-0.277970577
FA_Mono_.g.,0.6264807,0.475189246,0.789683591,0.29692541,-0.280529896,-0.350918855,-0.333001788,0.034784902,0.198562204,0.160580935,0.420242407,0.084322275,0.348860713,0.425290862,0.020191778,-0.254671528,0.395139588,-0.464617917,0.171190551,0.373010717,0.406888046,0.377725077,0.256253412,-0.079964825,0.023655112,-0.084282957,-0.080231226,0.41226069,0.505048502,-0.087195939,0.474361086,-0.238298607,-0.343934075,-0.121661277,-0.05838173,-0.29862664,0.15362919,0.453025054,-0.137541256,1,0.644513083,0.588212689
FA_Poly_.g.,0.561846134,0.513184497,0.760207591,0.401912762,-0.267696863,-0.211719352,-0.349670552,0.093262181,0.319130396,0.281126882,0.504627386,0.18269359,0.347118036,0.472178326,0.131411136,-0.09781057,0.421593088,-0.406796305,0.279701467,0.426627194,0.443115425,0.407880622,0.307557041,0.026956754,-0.003634046,0.026029175,0.026690734,0.467140733,0.442104444,-0.037074369,0.428115501,-0.227517646,-0.279462627,-0.173504103,-0.104936895,-0.226888853,0.219894426,0.437048682,-0.062580604,0.644513083,1,0.484361365
Cholestrl_.mg.,0.475810217,0.478069518,0.584581535,0.292158844,-0.571903017,-0.655439397,-0.566355098,-0.021431264,0.12978196,0.062567095,0.447703063,-0.029028525,0.577601963,0.43351474,-0.095129834,-0.437318482,0.539389755,-0.535668295,0.082935812,0.35891589,0.368894656,0.350126759,0.265807711,-0.23337948,-0.047291557,-0.2282314,-0.23337948,0.533985136,0.744029417,-0.098665717,0.678708637,-0.315970739,-0.459210087,-0.186823698,-0.076071902,-0.408709161,0.129192695,0.59244541,-0.277970577,0.588212689,0.484361365,1
